producto_inei,unidad_medida,año_mes,precio_soles
AJO ENTERO,KILOGRAMO,2023-08,14.62
AJO ENTERO,KILOGRAMO,2023-09,14.65
AJO ENTERO,KILOGRAMO,2023-10,14.28
AJO ENTERO,KILOGRAMO,2023-11,14.45
AJO ENTERO,KILOGRAMO,2023-12,14.53
AJO ENTERO,KILOGRAMO,2024-01,15.63
AJO ENTERO,KILOGRAMO,2024-02,17.45
AJO ENTERO,KILOGRAMO,2024-03,18.77
AJO ENTERO,KILOGRAMO,2024-04,21.28
AJO ENTERO,KILOGRAMO,2024-05,21.52
AJO ENTERO,KILOGRAMO,2024-06,21.85
AJO ENTERO,KILOGRAMO,2024-07,23.58
AJO ENTERO,KILOGRAMO,2024-08,36.98
AJO ENTERO,KILOGRAMO,2024-09,27.21
AJO ENTERO,KILOGRAMO,2024-10,19.81
AJO ENTERO,KILOGRAMO,2024-11,18.32
AJO ENTERO,KILOGRAMO,2024-12,18.51
AJO ENTERO,KILOGRAMO,2025-01,19.64
AJO ENTERO,KILOGRAMO,2025-02,21.0
AJO ENTERO,KILOGRAMO,2025-03,22.43
AJO ENTERO,KILOGRAMO,2025-04,22.27
AJO ENTERO,KILOGRAMO,2025-05,22.23
AJO ENTERO,KILOGRAMO,2025-06,22.8
AJO ENTERO,KILOGRAMO,2025-07,22.24
AJO ENTERO,KILOGRAMO,2025-08,21.16
AJO ENTERO,KILOGRAMO,2025-09,20.53
AJO ENTERO,KILOGRAMO,2025-10,19.61
AJO ENTERO,KILOGRAMO,2025-11,19.11
AJO ENTERO,KILOGRAMO,2025-12,19.15
AJO ENTERO,KILOGRAMO,2026-01,18.73
AJO ENTERO,KILOGRAMO,2026-02,18.93
AJO ENTERO,KILOGRAMO,2026-03,19.14
AJO ENTERO,KILOGRAMO,2026-04,18.87
AJO ENTERO,KILOGRAMO,2026-05,18.64
AJO ENTERO,KILOGRAMO,2026-06,18.69
AJO ENTERO,KILOGRAMO,2026-07,18.48
AJO ENTERO,KILOGRAMO,2026-08,18.29
APIO,KILOGRAMO,2023-08,5.63
APIO,KILOGRAMO,2023-09,4.14
APIO,KILOGRAMO,2023-10,2.75
APIO,KILOGRAMO,2023-11,2.46
APIO,KILOGRAMO,2023-12,2.41
APIO,KILOGRAMO,2024-01,3.1
APIO,KILOGRAMO,2024-02,3.5
APIO,KILOGRAMO,2024-03,4.73
APIO,KILOGRAMO,2024-04,4.74
APIO,KILOGRAMO,2024-05,4.37
APIO,KILOGRAMO,2024-06,3.72
