fecha,producto,unidad_medida,equiv_kg,precio_hoy
2023-08-01,Acelga,Atado,1.0,4.88
2023-08-01,Aji Amarillo Seco,Kilogramo,1.0,11.75
2023-08-01,Aji Escabeche,Kilogramo,1.0,5.2
2023-08-01,Aji Montaña,Kilogramo,1.0,4.38
2023-08-01,Aji Panca,Kilogramo,1.0,11.5
2023-08-01,Aji Paprika,Kilogramo,1.0,13.25
2023-08-01,Aji Rocoto,Cajon,18.0,55.0
2023-08-01,Ajo Criollo O Napuri,Kilogramo,1.0,5.75
2023-08-01,Ajo Morado,Kilogramo,1.0,7.33
2023-08-01,Albahaca,Atado,0.65,1.75
2023-08-01,Alcachofa,Docena,4.0,19.5
2023-08-01,Apio,Atado,3.0,15.0
2023-08-01,Arveja Verde Americana,Kilogramo,1.0,3.3
2023-08-01,Arveja Verde Blanca Serrana,Kilogramo,1.0,2.8
2023-08-01,Berenjena,Docena,2.5,13.0
2023-08-01,Beterraga,Atado,0.75,1.63
2023-08-01,Brocoli,Kilogramo,1.0,1.5
2023-08-01,Caigua (Selva),Cajon,12.0,26.5
2023-08-01,Camote Amarillo,Kilogramo,1.0,1.28
2023-08-01,Camote Morado,Kilogramo,1.0,1.35
2023-08-01,Cebolla Cabeza Blanca,Kilogramo,1.0,2.4
2023-08-01,Cebolla Cabeza Roja,Kilogramo,1.0,5.83
2023-08-01,Cebolla China,Atado Grande,1.0,1.13
2023-08-01,Choclo Tipo Cusco,Ciento,42.0,157.5
2023-08-01,Col China/Longapa,Docena,12.0,60.0
2023-08-01,Col Corazon,Docena,35.0,53.75
2023-08-01,Coliflor,Docena,35.0,36.25
2023-08-01,Culantro,Atado,1.5,3.63
2023-08-01,Esparrago,Paquete,0.5,2.75
2023-08-01,Espinaca,Kilogramo,1.0,4.75
2023-08-01,Frejolito Chino,Kilogramo,1.0,2.5
2023-08-01,Frijol Verde Canario,Kilogramo,1.0,3.28
2023-08-01,Haba Verde Serrana,Kilogramo,1.0,1.85
2023-08-01,Hierba Buena,Atado,0.85,1.88
2023-08-01,Holantau/Organica,Kilogramo,1.0,9.5
2023-08-01,Huacatay,Atado,1.0,3.5
2023-08-01,Kion,Kilogramo,1.0,3.0
2023-08-01,Lechuga Americana,Docena,6.0,11.25
2023-08-01,Lechuga Criolla Seda,Docena,3.0,11.0
2023-08-01,Lechuga Romana Hidroponica,Docena,6.0,6.75
2023-08-01,Limon Sutil Bolsa,Bolsa,45.0,205.0
2023-08-01,Limon Sutil Cajon,Cajon,23.0,107.5
2023-08-01,Maiz Marlo/Coronta De Maiz,Kilogramo,1.0,11.0
2023-08-01,Maiz Morado,Kilogramo,1.0,3.65
2023-08-01,Manzana Cte/Para Agua,Kilogramo,1.0,4.68
2023-08-01,Maracuya,Kilogramo,1.0,2.25
2023-08-01,Nabo,Atado,1.0,2.0
2023-08-01,Olluco Largo,Kilogramo,1.0,3.68
2023-08-01,Pacchoy,Docena,6.0,32.5
2023-08-01,Pallar Verde Serrucho,Kilogramo,1.0,2.03
2023-08-01,Papa Amarilla,Kilogramo,1.0,1.93
2023-08-01,Papa Blanca,Kilogramo,1.0,0.71
2023-08-01,Papa Canchan 2/,Kilogramo,1.0,1.1
2023-08-01,Papa Color,Kilogramo,1.0,1.15
2023-08-01,Papa Huamantanga,Kilogramo,1.0,1.84
2023-08-01,Papa Huayro,Kilogramo,1.0,2.05
2023-08-01,Papa Negra Andina,Kilogramo,1.0,1.16
2023-08-01,Papa Peruanita,Kilogramo,1.0,1.73
2023-08-01,Papa Unica 2/,Kilogramo,1.0,1.2
2023-08-01,Papa Yungay 1/,Kilogramo,1.0,0.71
2023-08-01,Pepinillo,Docena,6.0,7.25
2023-08-01,Perejil,Atado,1.0,2.13
2023-08-01,Pimiento Morron,Cajon,18.0,80.0
2023-08-01,Poro,Atado,2.6,5.75
2023-08-01,Rabanito,Atado,0.75,3.5
2023-08-01,Tomate Katia,Cajon Chico,27.0,75.0
2023-08-01,Vainita Americana,Kilogramo,1.0,1.63
2023-08-01,Yuca Amarilla,Kilogramo,1.0,1.23
2023-08-01,Z:apallo Macre,Kilogramo,1.0,2.8
2023-08-01,Zanahoria,Saco Chico,65.0,50.0
2023-08-01,Zapallo Italiano,Docena,12.0,16.5
2023-08-01,Zapallo Loche,Unidad,1.5,22.5
2023-08-02,Acelga,Atado,1.0,4.88
2023-08-02,Aji Amarillo Seco,Kilogramo,1.0,11.75
2023-08-02,Aji Escabeche,Kilogramo,1.0,5.33
2023-08-02,Aji Montaña,Kilogramo,1.0,6.75
2023-08-02,Aji Panca,Kilogramo,1.0,11.5
