fecha,producto,unidad_medida,equiv_kg,precio_hoy
2023-08-01,ACELGA,ATADO,1.0,4.88
2023-08-01,AJI AMARILLO SECO,KILOGRAMO,1.0,11.75
2023-08-01,AJI ESCABECHE,KILOGRAMO,1.0,5.2
2023-08-01,AJI MONTAÑA,KILOGRAMO,1.0,4.38
2023-08-01,AJI PANCA,KILOGRAMO,1.0,11.5
2023-08-01,AJI PAPRIKA,KILOGRAMO,1.0,13.25
2023-08-01,AJI ROCOTO,CAJON,18.0,55.0
2023-08-01,AJO CRIOLLO O NAPURI,KILOGRAMO,1.0,5.75
2023-08-01,AJO MORADO,KILOGRAMO,1.0,7.33
2023-08-01,ALBAHACA,ATADO,0.65,1.75
2023-08-01,ALCACHOFA,DOCENA,4.0,19.5
2023-08-01,APIO,ATADO,3.0,15.0
2023-08-01,ARVEJA VERDE AMERICANA,KILOGRAMO,1.0,3.3
2023-08-01,ARVEJA VERDE BLANCA SERRANA,KILOGRAMO,1.0,2.8
2023-08-01,BERENJENA,DOCENA,2.5,13.0
2023-08-01,BETERRAGA,ATADO,0.75,1.63
2023-08-01,BROCOLI,KILOGRAMO,1.0,1.5
2023-08-01,CAIGUA (SELVA),CAJON,12.0,26.5
2023-08-01,CAMOTE AMARILLO,KILOGRAMO,1.0,1.28
2023-08-01,CAMOTE MORADO,KILOGRAMO,1.0,1.35
2023-08-01,CEBOLLA CABEZA BLANCA,KILOGRAMO,1.0,2.4
2023-08-01,CEBOLLA CABEZA ROJA,KILOGRAMO,1.0,5.83
2023-08-01,CEBOLLA CHINA,ATADO GRANDE,1.0,1.13
2023-08-01,CHOCLO TIPO CUSCO,CIENTO,42.0,157.5
2023-08-01,COL CHINA/LONGAPA,DOCENA,12.0,60.0
2023-08-01,COL CORAZON,DOCENA,35.0,53.75
2023-08-01,COLIFLOR,DOCENA,35.0,36.25
2023-08-01,CULANTRO,ATADO,1.5,3.63
2023-08-01,ESPARRAGO,PAQUETE,0.5,2.75
2023-08-01,ESPINACA,KILOGRAMO,1.0,4.75
2023-08-01,FREJOLITO CHINO,KILOGRAMO,1.0,2.5
2023-08-01,FRIJOL VERDE CANARIO,KILOGRAMO,1.0,3.28
2023-08-01,HABA VERDE SERRANA,KILOGRAMO,1.0,1.85
2023-08-01,HIERBA BUENA,ATADO,0.85,1.88
2023-08-01,HOLANTAU/ORGANICA,KILOGRAMO,1.0,9.5
2023-08-01,HUACATAY,ATADO,1.0,3.5
2023-08-01,KION,KILOGRAMO,1.0,3.0
2023-08-01,LECHUGA AMERICANA,DOCENA,6.0,11.25
2023-08-01,LECHUGA CRIOLLA SEDA,DOCENA,3.0,11.0
2023-08-01,LECHUGA ROMANA HIDROPONICA,DOCENA,6.0,6.75
2023-08-01,LIMON SUTIL BOLSA,BOLSA,45.0,205.0
2023-08-01,LIMON SUTIL CAJON,CAJON,23.0,107.5
2023-08-01,MAIZ MARLO/CORONTA DE MAIZ,KILOGRAMO,1.0,11.0
2023-08-01,MAIZ MORADO,KILOGRAMO,1.0,3.65
2023-08-01,MANZANA CTE/PARA AGUA,KILOGRAMO,1.0,4.68
2023-08-01,MARACUYA,KILOGRAMO,1.0,2.25
2023-08-01,NABO,ATADO,1.0,2.0
2023-08-01,OLLUCO LARGO,KILOGRAMO,1.0,3.68
2023-08-01,PACCHOY,DOCENA,6.0,32.5
2023-08-01,PALLAR VERDE SERRUCHO,KILOGRAMO,1.0,2.03
2023-08-01,PAPA AMARILLA,KILOGRAMO,1.0,1.93
2023-08-01,PAPA BLANCA,KILOGRAMO,1.0,0.71
2023-08-01,PAPA CANCHAN 2,KILOGRAMO,1.0,1.1
2023-08-01,PAPA COLOR,KILOGRAMO,1.0,1.15
2023-08-01,PAPA HUAMANTANGA,KILOGRAMO,1.0,1.84
2023-08-01,PAPA HUAYRO,KILOGRAMO,1.0,2.05
2023-08-01,PAPA NEGRA ANDINA,KILOGRAMO,1.0,1.16
2023-08-01,PAPA PERUANITA,KILOGRAMO,1.0,1.73
2023-08-01,PAPA UNICA 2,KILOGRAMO,1.0,1.2
2023-08-01,PAPA YUNGAY 1,KILOGRAMO,1.0,0.71
2023-08-01,PEPINILLO,DOCENA,6.0,7.25
2023-08-01,PEREJIL,ATADO,1.0,2.13
2023-08-01,PIMIENTO MORRON,CAJON,18.0,80.0
2023-08-01,PORO,ATADO,2.6,5.75
2023-08-01,RABANITO,ATADO,0.75,3.5
2023-08-01,TOMATE,CAJON CHICO,27.0,75.0
2023-08-01,VAINITA AMERICANA,KILOGRAMO,1.0,1.63
2023-08-01,YUCA AMARILLA,KILOGRAMO,1.0,1.23
